Created,GPS,DC Latitude,Model,POST ID
2021:01:06 18:55:26,"38 deg 53' 24.72"" N, 77 deg 0' 37.44"" W",TRUE,iPhone 12 Pro Max,adtV4zbkXr5x
2021:01:06 21:45:20,"38 deg 53' 44.88"" N, 77 deg 1' 46.56"" W",TRUE,null,aFO87IEKv43J
2021:01:06 20:18:52,"38 deg 53' 22.92"" N, 77 deg 0' 37.80"" W",TRUE,iPhone 11 Pro Max,ahY8n2R8hyxb
2021:01:06 19:35:43,"38 deg 53' 20.76"" N, 77 deg 0' 20.88"" W",TRUE,iPhone XS Max,ai8AzhEoyrGX
2021:01:06 19:21:06,"38 deg 53' 24.36"" N, 77 deg 0' 36.00"" W",TRUE,iPhone SE (2nd generation),akK49L4aRpbh
2021:01:06 15:04:02,"38 deg 53' 21.84"" N, 77 deg 2' 25.08"" W",TRUE,iPhone 11,akVq8hns9Ekq
2021:01:06 15:53:50,"38 deg 53' 31.20"" N, 77 deg 2' 14.28"" W",TRUE,iPhone XR,aL1t2lqChyze
2021:01:06 19:46:57,"38 deg 53' 22.20"" N, 77 deg 0' 37.80"" W",TRUE,null,aliZGu3YsI5q
2021:01:06 20:01:50,"38 deg 53' 22.56"" N, 77 deg 0' 38.88"" W",TRUE,iPhone 12 Pro,AmVOZeAY7tjF
2021:01:06 15:20:58,"38 deg 53' 29.76"" N, 77 deg 2' 14.64"" W",TRUE,iPhone 11 Pro Max,AnjRSKPVwHdd
2021:01:06 18:10:41,"38 deg 53' 36.96"" N, 77 deg 2' 12.12"" W",TRUE,iPhone XS,aovZgE73u2Fw
2021:01:06 20:24:30,"38 deg 53' 20.76"" N, 77 deg 0' 43.20"" W",TRUE,iPhone 11 Pro Max,AP1Rxpm2FsWe
